Epoch,Accuracy,Loss
0,55.94,1.925122564
1,60.17,1.76651977
2,63.63,1.716620276
3,67.72,1.658828455
4,70.34,1.617820689
5,60.3,1.765782885
6,61.96,1.646427567
7,61.53,1.724178123
8,61.61,1.876433654
9,64.28,1.696366644
10,67.65,1.68060435
11,68.27,1.738281066
12,70.12,1.732839223
13,70.49,1.737362774
14,70.58,1.732315935
15,57.73,2.081316642
16,62.14,1.741600023
17,64.07,1.58445313
18,63.71,1.65521821
19,64.48,1.659189684
20,63.84,1.680971973
21,63.39,1.75470822
22,63.9,1.7819332
23,66.3,1.674086115
24,66.47,1.792665461
25,66.46,1.76491166
26,67.93,1.7137133
27,68.77,1.770986633
28,69.63,1.775153991
29,70.39,1.789688572
30,70.5,1.778081364
31,71.28,1.831357571
32,71.23,1.814388204
33,71.37,1.813381462
34,71.47,1.813888144
35,60.97,1.844250705
36,61.06,1.793327951
37,59.77,1.846063823
38,63.43,1.666464674
39,61.56,1.781856231
40,60.05,1.891010646
41,64.2,1.62601008
42,62.51,1.78172114
43,63.08,1.728465024
44,63.61,1.73149808
45,64.13,1.696857473
46,65.77,1.734664493
47,65.02,1.713672519
48,64.77,1.820354326
49,63.71,1.8517877
50,65.24,1.745281153
51,65.67,1.806703236
52,65.4,1.850034293
53,65.97,1.802349671
54,66.22,1.903891522
55,67.58,1.826656049
56,68.04,1.783918143
57,68.62,1.910416189
58,69.37,1.839144288
59,69.65,1.799630059
60,70.17,1.835213441
61,70.26,1.824103398
62,70.49,1.9031942
63,70.76,1.870790563
64,70.41,1.891490891
65,71.13,1.865783657
66,71.35,1.884292671
67,71.44,1.882762437
68,71.54,1.883198232
69,71.81,1.888407571
70,71.95,1.905203666
71,71.84,1.8845429
72,71.96,1.885064509
73,71.91,1.895088556
74,71.83,1.883967746
75,57.92,1.925788913
76,61.2,1.717202962
77,57.65,1.978531953
78,60.35,1.859772431
79,61.36,1.841146761
80,61.83,1.736461125
81,60.63,1.987184828
82,63.78,1.689181826
83,62.76,1.797299236
84,61.86,1.755737857
85,63.27,1.775397847
86,61.13,1.833353635
87,62.31,1.849146906
88,63.6,1.754115416
89,64.39,1.734272712
90,63.99,1.761609215
91,63.7,1.726033365
92,63.7,1.675494279
93,63.16,1.7846572
94,64.74,1.68349112
95,64.72,1.721944219
96,62.63,1.98072586
97,64.61,1.746368352
98,64.09,1.741925882
99,64.9,1.730068201
100,65.01,1.774285707
101,64.55,1.758838221
102,65.33,1.746826551
103,65.71,1.790431994
104,65.76,1.762124801
105,65.51,1.760570788
106,66.53,1.817426449
107,65.28,1.839432923
108,65.09,1.804106417
109,66,1.822404453
110,66.75,1.857549096
111,66.04,1.800835272
112,67.36,1.753911596
113,67.11,1.872314394
114,67.36,1.854194076
115,66.55,1.899961393
116,67.28,1.906178846
117,67.36,1.886422312
118,67.83,1.942602524
119,68.35,1.932327229
120,68.08,1.869820454
121,67.89,1.89964966
122,67.86,1.898316122
123,68.77,1.866280866
124,69.41,1.872549791
125,68.96,1.933235628
126,70.31,1.879866834
127,70.24,1.84536414
128,70.4,1.925021261
129,70.67,1.865630799
130,70.95,1.882235174
131,70.7,1.890611259
132,70.63,1.87089052
133,70.57,1.869290658
134,70.88,1.892694826
135,71.19,1.891906708
136,71.06,1.917240648
137,71.45,1.901690309
138,71.9,1.889241463
139,71.53,1.869778019
140,71.57,1.900888653
141,71.67,1.901663604
142,71.69,1.903972698
143,71.59,1.88698927
144,71.89,1.877572391
145,71.78,1.884859485
146,72,1.886611553
147,72.2,1.880123584
148,71.93,1.881720304
149,71.87,1.881801224
150,72,1.874606408
151,71.9,1.87443803
152,72.05,1.889223011
153,71.93,1.880140448
154,71.91,1.880207965
