Epoch,Accuracy,Loss
0,20.64,3.324668329
1,29.24,2.847285166
2,37.74,2.452186581
3,44.77,2.143869681
4,50.14,1.885713831
5,41.63,2.260662686
6,48.44,1.915761583
7,51.03,1.841867656
8,53.98,1.750747344
9,56.85,1.645802171
10,59.18,1.50876713
11,61.69,1.430011691
12,63.17,1.401140962
13,64.81,1.352215343
14,65.6,1.333004882
15,54.42,1.706733302
16,56.87,1.597058862
17,57.59,1.609037574
18,58.54,1.594593697
19,58.01,1.672152764
20,59.96,1.581931274
21,60.68,1.56079149
22,61.46,1.514932708
23,63.85,1.419176802
24,62.62,1.521868517
25,63.99,1.449487284
26,64.6,1.492302707
27,64.69,1.515235639
28,66.53,1.504086983
29,66.69,1.473799629
30,67.22,1.530092234
31,67.76,1.543196879
32,68.24,1.564506044
33,68.22,1.563408351
34,68.31,1.572570003
35,58.6,1.650754875
36,60.02,1.685457141
37,59.64,1.694794678
38,59.52,1.606862814
39,62.34,1.513149352
40,60.71,1.622137306
41,61.42,1.576232606
42,60.36,1.662152959
43,59.37,1.845242496
44,62.26,1.610015939
45,62.31,1.672368044
46,62.64,1.617957366
47,60.07,1.890355794
48,61.24,1.805464379
49,64.03,1.617613808
50,63.58,1.623135384
51,63.88,1.694880232
52,64.68,1.655025619
53,65.3,1.605880013
54,65.04,1.667634167
55,65.55,1.649381696
56,65.99,1.73436394
57,66.47,1.673137642
58,66.08,1.756379057
59,67.44,1.688373411
60,67.62,1.754723863
61,67.88,1.74186265
62,68.18,1.745198864
63,68.37,1.809938151
64,68.38,1.811797192
65,68.56,1.886181416
66,69.22,1.860052959
67,69.21,1.870683562
68,69.46,1.867334854
69,69.57,1.880337722
70,69.52,1.881559407
71,69.9,1.872462645
72,69.93,1.891094323
73,69.71,1.893797715
74,69.7,1.892389301
75,56.48,2.000383442
76,60.22,1.726687752
77,58.45,1.883089683
78,61.67,1.729791964
79,60.54,1.782820482
80,61.89,1.711921426
81,60.65,1.750921919
82,60.03,1.745041611
83,61.15,1.691711551
84,62.79,1.734790776
85,62.22,1.798452908
86,58.87,1.828078979
87,63.57,1.624290734
88,61.96,1.658242439
89,59.58,1.919491918
90,62.4,1.697924716
91,63.86,1.620794715
92,63.2,1.631354835
93,63.4,1.652004909
94,64.04,1.702888836
95,63.49,1.695591673
96,62.63,1.750919771
97,62.42,1.835602305
98,62.73,1.821676811
99,62.82,1.804560707
100,62.68,1.848552654
101,63.35,1.846975692
102,64.11,1.782087821
103,64.41,1.783744315
104,64.32,1.774588333
105,64.68,1.754021618
106,64.61,1.804507292
107,64.25,1.856354403
108,64.42,1.761700241
109,64.9,1.933302585
110,65.83,1.827902329
111,65.31,1.814422542
112,65.78,1.793195801
113,65.89,1.838527235
114,65.94,1.837891405
115,66.46,1.802198756
116,66.6,1.812873409
117,66.02,1.872369403
118,66.56,1.871800099
119,66.13,1.992800509
120,67.73,1.902670594
121,67.74,1.900389398
122,68.01,1.913786401
123,68.22,1.8839675
124,68.38,1.910781808
125,68.61,1.894640096
126,68.4,1.943100904
127,68.99,1.940264717
128,69.43,1.904337073
129,69.74,1.878884801
130,69.92,1.861030967
131,70.6,1.889378886
132,70.55,1.885068904
133,70.12,1.943733935
134,70.84,1.88281343
135,70.92,1.874411169
136,70.93,1.885322244
137,71.03,1.898422967
138,71.09,1.888930379
139,71.16,1.885824282
140,71.16,1.894494389
141,71.28,1.89799863
142,71.43,1.901682263
143,71.5,1.907330918
144,71.63,1.900868063
145,71.4,1.908634184
146,71.31,1.915723429
147,71.63,1.925900282
148,71.69,1.916162206
149,71.6,1.916622873
150,71.83,1.916365564
151,71.67,1.916658461
152,71.87,1.919070606
153,71.69,1.924678683
154,71.6,1.932812802
