Epoch,Accuracy,Loss
0,18.18,3.389370432
0,53.96,1.840092515
1,58.52,1.621563415
2,64.17,1.368859549
3,66.94,1.295801952
4,70.4,1.164491009
5,58.94,1.590646869
6,57.54,1.661985966
7,58.38,1.730265059
8,63.63,1.408554198
9,63.88,1.374205743
10,66.39,1.309648376
11,67.45,1.255309176
12,68.87,1.212404703
13,70.08,1.197383231
14,70.5,1.191182364
15,60.18,1.524757087
16,60.49,1.52040679
17,55.6,1.782565447
18,62.35,1.436183385
19,61.46,1.517874846
20,63.46,1.407250615
21,63.82,1.384885026
22,63.61,1.428454468
23,64.99,1.333569269
24,65.73,1.360026987
25,66.38,1.312068462
26,67.81,1.254653351
27,68.89,1.248972023
28,68.26,1.266407358
29,69.34,1.258093021
30,70.26,1.210177729
31,70.44,1.242526103
32,70.9,1.226133591
33,70.68,1.227391325
34,71.11,1.234516209
35,61.75,1.464264545
36,57.7,1.705946332
37,59.69,1.578094307
38,61.32,1.484971196
39,62.73,1.42400575
40,60.14,1.612995199
41,59.79,1.577884295
42,62.42,1.449285216
43,59.85,1.593275288
44,60.82,1.508001741
45,63.39,1.373296498
46,63.41,1.42430533
47,62.97,1.396794654
48,62.52,1.48309959
49,64.64,1.355006485
50,64.25,1.426521035
51,65.16,1.326764598
52,65.81,1.305455153
53,65.32,1.360877599
54,66.06,1.332280187
55,65.31,1.385752787
56,66.21,1.345683563
57,67.33,1.347724653
58,68.22,1.249003681
59,68.02,1.306946997
60,68.99,1.269105961
61,68.71,1.302112616
62,69.77,1.295330369
63,69.56,1.302940975
64,69.46,1.334569416
65,70.67,1.290007765
66,70.32,1.295276505
67,70.75,1.312820227
68,70.72,1.320103023
69,70.52,1.327574149
70,70.77,1.339683037
71,70.79,1.325334217
72,70.96,1.329726778
73,71.04,1.333914331
74,71.21,1.340043622
75,54.25,1.840916384
76,60.53,1.5213988
77,57.01,1.673323723
78,61.85,1.418857807
79,62.2,1.439627033
80,60.02,1.56000827
81,62.66,1.438637922
82,62.27,1.410947341
83,61.77,1.463475666
84,60.86,1.486440829
85,62.15,1.467200365
86,62.4,1.49109063
87,63.21,1.391755371
88,62,1.446832595
89,61.19,1.504880768
90,63.43,1.413153959
91,61.23,1.546281274
92,62.33,1.461549577
93,62.87,1.434205245
94,62.77,1.462271226
95,62.34,1.475173113
96,62.43,1.50286862
97,63.59,1.436655493
98,63.42,1.474671008
99,64.71,1.306873776
100,61.88,1.520144254
101,63.19,1.438660138
102,64.49,1.329989203
103,64,1.42092846
104,64.41,1.368813975
105,64.28,1.39668172
106,65.57,1.368471601
107,64.97,1.356429043
108,65.55,1.398430894
109,65.12,1.380208769
110,64.67,1.441030895
111,65.41,1.351281529
112,65.35,1.383424139
113,66.26,1.348737455
114,65.16,1.49263738
115,65.86,1.34369804
116,67.42,1.286758877
117,66.05,1.371813316
118,67.5,1.294587284
119,67.28,1.374480073
120,68.2,1.288061196
121,66.7,1.3831092
122,68.58,1.277627763
123,68.76,1.322623514
124,68.47,1.345943854
125,68.46,1.32222651
126,68.19,1.371253773
127,68.5,1.382122952
128,69.28,1.318059595
129,68.63,1.385866585
130,68.02,1.403374819
131,69.56,1.358927285
132,69.37,1.320951588
133,70.06,1.33270578
134,69.84,1.3925002
135,70.36,1.348159965
136,69.91,1.400817406
137,70.32,1.357854423
138,70.44,1.368100814
139,70.23,1.398855019
140,70.67,1.372869091
141,70.99,1.397846879
142,71.11,1.392031227
143,71.06,1.403123349
144,71.09,1.415483168
145,70.99,1.437400025
146,71.23,1.423745304
147,71.31,1.431863246
148,71.09,1.423111981
149,71.26,1.435104481
150,71.31,1.43310941
151,71.36,1.430804281
152,71.36,1.435837804
153,71.55,1.438940559
154,71.51,1.434425919
