Epoch,Accuracy,Loss
0,18.94,3.407596156
1,26.72,2.985606281
2,31.94,2.735500186
3,40.14,2.275431621
4,47.35,1.984472228
5,33.96,2.627487623
6,41.93,2.150365112
7,46.31,1.985897768
8,46.17,2.052151711
9,51.46,1.790589198
10,55.57,1.61073519
11,55.74,1.589265854
12,58.66,1.481137271
13,60.26,1.396441274
14,61.17,1.362409322
15,48.76,1.932911604
16,48.01,1.954055301
17,51.85,1.823705937
18,53.51,1.711035165
19,55.23,1.623955494
20,54.01,1.679285854
21,58.27,1.503875763
22,57.29,1.527285511
23,59.54,1.438163383
24,60.72,1.431641149
25,60.73,1.415392576
26,62.03,1.370283156
27,62.9,1.329030118
28,64,1.286369493
29,65.45,1.219166857
30,65.79,1.210009717
31,66.63,1.188551097
32,67.14,1.163888153
33,67.34,1.158386418
34,67.65,1.152731705
35,54.2,1.738952179
36,56.72,1.634428555
37,55.85,1.597821577
38,57.96,1.523062477
39,57.19,1.556868844
40,58.64,1.502763549
41,58.9,1.519402045
42,60.1,1.446732127
43,59.59,1.458064549
44,58.33,1.521948541
45,59.89,1.43483023
46,58.15,1.573000492
47,61.21,1.414556103
48,62.8,1.338821983
49,62.76,1.374210385
50,61.7,1.395051501
51,62.22,1.388000607
52,62.42,1.3658043
53,64.36,1.311197787
54,62.51,1.361537559
55,64.33,1.306243055
56,64.55,1.333417159
57,64.73,1.28421183
58,66.74,1.220753108
59,65.67,1.271055513
60,67.3,1.203914866
61,66.1,1.236439502
62,67.8,1.188418976
63,68.19,1.19242854
64,68.31,1.200363283
65,69.2,1.179932795
66,68.38,1.198188109
67,68.92,1.18480424
68,69.15,1.189158006
69,69.38,1.18586207
70,69.38,1.18390087
71,69.7,1.177228508
72,69.76,1.175483183
73,69.81,1.178795086
74,69.81,1.172850606
75,52.93,1.85864338
76,57.46,1.574089534
77,58.62,1.539228847
78,61.06,1.426148749
79,57.99,1.622936814
80,60.44,1.46746488
81,61.07,1.42045841
82,61.6,1.407955613
83,59.7,1.501451568
84,61.83,1.404870953
85,60.15,1.489153144
86,62.47,1.42230676
87,60.64,1.485028312
88,60.12,1.524062889
89,60.79,1.515245843
90,62.59,1.387009076
91,62.32,1.392732267
92,63.94,1.349408827
93,61.38,1.464414692
94,62.89,1.385751501
95,62.14,1.392763621
96,63.31,1.359460465
97,62.26,1.431066449
98,61.98,1.461393416
99,63.35,1.391529934
100,63.25,1.422723533
101,64.17,1.353366936
102,63.53,1.354208786
103,62.57,1.438904723
104,63.95,1.307433393
105,64.7,1.321532176
106,63.65,1.353973096
107,63.65,1.343880396
108,64.59,1.305946121
109,63.19,1.387145569
110,63.96,1.417270884
111,65.17,1.341077074
112,63.13,1.437876993
113,65.15,1.317587311
114,64.83,1.352656018
115,65.86,1.282728315
116,64.63,1.374611616
117,66.3,1.272366694
118,65.8,1.323478942
119,66.08,1.309768453
120,66.94,1.244157663
121,65.83,1.348707594
122,66.78,1.317675354
123,67.03,1.289947094
124,66.79,1.295124187
125,67.13,1.324585584
126,66.71,1.316034699
127,67.87,1.305584837
128,68.02,1.288345973
129,67.9,1.319235449
130,68.31,1.31137471
131,68.46,1.318818861
132,68.16,1.333174144
133,68.66,1.319155596
134,68.53,1.324552382
135,69.13,1.313130766
136,68.95,1.331833334
137,69.63,1.331080382
138,69.56,1.309525158
139,69.46,1.362196866
140,69.63,1.336728971
141,70.07,1.353466857
142,69.96,1.336083809
143,69.79,1.350923733
144,70.12,1.375805971
145,70.24,1.36304236
146,70.18,1.372648002
147,70.32,1.374800341
148,70.35,1.382689777
149,70.3,1.380358418
150,70.33,1.382010486
151,70.37,1.377356186
152,70.38,1.380383207
153,70.22,1.385605745
154,70.47,1.38408779
