Epoch,Accuracy,Loss
0,57,1.664284588
1,58.45,1.550561432
2,62.95,1.378641496
3,66.84,1.22906289
4,68.73,1.148984663
5,60.29,1.494693446
6,59.92,1.530897525
7,61.25,1.436029998
8,61.98,1.431453241
9,63.53,1.327393225
10,65.48,1.293495434
11,66.55,1.22211398
12,68.52,1.163795176
13,69.61,1.127714153
14,69.87,1.120980203
15,60.45,1.477499639
16,59.63,1.515469884
17,59.13,1.532070193
18,61.06,1.473544287
19,61.58,1.406197689
20,61.72,1.4382418
21,63.21,1.348806654
22,63.1,1.399745642
23,63.9,1.31740896
24,64.77,1.320982005
25,65.79,1.269181802
26,65.71,1.299071161
27,67.15,1.246066042
28,68.39,1.182101419
29,68.83,1.160029588
30,69.05,1.16142805
31,69.7,1.127635498
32,69.82,1.125335488
33,70.21,1.1232991
34,70.16,1.11765642
35,59.71,1.569162906
36,61.71,1.426625942
37,60.97,1.468487387
38,59.22,1.497002931
39,60.99,1.459337362
40,61.74,1.420417628
41,61.73,1.420414866
42,60.16,1.536654895
43,58.84,1.633405944
44,61.77,1.405251141
45,61.76,1.448535465
46,61.44,1.451735998
47,63.68,1.35093342
48,63.68,1.349050098
49,64.31,1.3471742
50,60.57,1.499546203
51,64.76,1.303465366
52,64.06,1.332884039
53,65.05,1.314793637
54,65.85,1.286349362
55,65.39,1.31759261
56,65.73,1.28231874
57,67.07,1.237081828
58,66.43,1.208233512
59,67.24,1.245020495
60,67.7,1.198379533
61,68.1,1.204014668
62,68.18,1.180031695
63,68.74,1.175245884
64,69.27,1.169593055
65,69.59,1.164418504
66,69.88,1.141653092
67,69.87,1.15294712
68,70.17,1.14344005
69,70.46,1.139117534
70,70.12,1.140393221
71,70.34,1.13580916
72,70.38,1.139760706
73,70.25,1.137898599
74,70.41,1.135325626
75,58.71,1.600809944
76,59.28,1.541059604
77,55.91,1.766196312
78,61.94,1.442328537
79,59.02,1.563353205
80,60.59,1.507746326
81,61.75,1.411940488
82,61.91,1.448242418
83,58.45,1.590843149
84,62.34,1.415696837
85,62.17,1.414887304
86,61.29,1.440335105
87,59.31,1.537290042
88,62.67,1.396986184
89,60.8,1.51146085
90,62.3,1.389265168
91,61.96,1.439644978
92,62.87,1.378268052
93,62.97,1.392078016
94,62.97,1.380455537
95,63.83,1.347676828
96,62.78,1.405130597
97,63.73,1.338391701
98,62.64,1.404637288
99,63.62,1.343909608
100,65.38,1.302026582
101,63.55,1.384346395
102,62.63,1.402588573
103,64.07,1.369541378
104,64.08,1.333242866
105,63.42,1.352718149
106,65.6,1.298057993
107,63.35,1.385691616
108,65.09,1.305320194
109,65.33,1.265083241
110,65.06,1.292246517
111,65.9,1.298491456
112,63.77,1.368468811
113,65.59,1.27772803
114,65.12,1.334990937
115,65.26,1.330315276
116,65.1,1.326209472
117,66.79,1.256182996
118,65.69,1.280878146
119,66.8,1.273931548
120,66.68,1.262059555
121,66.92,1.260831108
122,67.82,1.208719848
123,66.41,1.292279681
124,67.52,1.235272275
125,67.14,1.270925078
126,68.38,1.206721182
127,67.85,1.268474871
128,68.34,1.224892115
129,68.59,1.218537823
130,69.11,1.184670384
131,68.78,1.212991704
132,69,1.216071543
133,69.16,1.193846141
134,69.22,1.164347044
135,69.28,1.210296294
136,69.63,1.205306321
137,69.65,1.188922104
138,69.83,1.176695316
139,70.19,1.176532204
140,70.11,1.185238467
141,69.89,1.172257891
142,70.12,1.166849299
143,70.55,1.168739076
144,70.09,1.16691101
145,70.55,1.164209697
146,70.4,1.158158506
147,70.82,1.156818514
148,70.91,1.161661162
149,70.76,1.159512525
150,70.82,1.165413015
151,70.93,1.166015643
152,70.89,1.162947925
153,70.66,1.158776696
154,70.74,1.158515749
