Epoch,Accuracy,Loss
0,55.58,1.799514
1,58.69,1.498025745
2,61.43,1.438587168
3,67.98,1.199865261
4,70.1,1.110394884
5,58.98,1.488364435
6,58.3,1.57173556
7,60.07,1.519563579
8,62.53,1.412911099
9,63.75,1.3713
10,66.42,1.275835617
11,67.9,1.194566247
12,69.18,1.157875665
13,70.34,1.128867334
14,70.8,1.110518719
15,57.86,1.613972782
16,57.75,1.619091452
17,56.85,1.679231208
18,60.17,1.473497284
19,62.24,1.422716554
20,62.13,1.396725714
21,62.15,1.423732638
22,62.8,1.388008691
23,64.94,1.297404029
24,64.89,1.342997094
25,65.9,1.277603664
26,67.42,1.219302416
27,68.55,1.185163437
28,68.82,1.180560993
29,70.23,1.137576178
30,70.29,1.15389348
31,70.71,1.145749907
32,70.73,1.134601205
33,71.22,1.130082248
34,71.24,1.124694382
35,55.48,1.766648316
36,56.82,1.675003905
37,60.72,1.461261287
38,57.76,1.667795966
39,59.6,1.587350539
40,59.62,1.520710877
41,58.97,1.599497397
42,61.76,1.43229668
43,61.49,1.433806871
44,62.92,1.346657409
45,61.87,1.458471463
46,61.35,1.488595848
47,60.71,1.499370064
48,64.01,1.348247436
49,63.91,1.384994431
50,63.1,1.381295063
51,64.74,1.304756219
52,63.75,1.420913072
53,66.71,1.255506725
54,65.96,1.28678597
55,66.73,1.259263865
56,67.35,1.22781232
57,67.81,1.241397846
58,67.68,1.232362431
59,68.33,1.220804424
60,68.63,1.190959648
61,68.9,1.246035356
62,68.98,1.205527448
63,69.99,1.185405265
64,70.43,1.174009073
65,70.92,1.169425956
66,71.01,1.16269511
67,70.9,1.179608364
68,71.09,1.169148033
69,71.73,1.172155597
70,71.8,1.168941627
71,71.83,1.168647437
72,71.88,1.170879913
73,71.88,1.174098339
74,72.06,1.173480012
75,58.53,1.598091525
76,58.55,1.62331363
77,60.14,1.48509998
78,59.37,1.556793736
79,58.97,1.597246392
80,61.89,1.406067253
81,62.64,1.36855095
82,58.86,1.580107092
83,61.63,1.459061446
84,62.84,1.369540423
85,60.52,1.521088334
86,62.32,1.448482572
87,62.11,1.421747593
88,62.58,1.377384495
89,59.82,1.565511127
90,61.77,1.462919473
91,58.73,1.674805069
92,62.75,1.375605321
93,62.55,1.413169222
94,63.5,1.432856313
95,62.33,1.436577756
96,62.72,1.422353439
97,61.47,1.473451645
98,63.68,1.345956455
99,63.98,1.365220126
100,63.47,1.409587448
101,62.57,1.41047058
102,63.94,1.374343843
103,64.49,1.335424653
104,65.12,1.297483131
105,64.14,1.345853011
106,64.34,1.372404525
107,63.55,1.402428267
108,64.14,1.374952295
109,66.09,1.275436616
110,65.88,1.318127351
111,66.83,1.255217922
112,66.27,1.301949305
113,67.45,1.255553141
114,65.41,1.335393998
115,66.84,1.280801132
116,67.08,1.289466365
117,66.97,1.308885088
118,66,1.333416844
119,67.43,1.282251488
120,67.27,1.327083112
121,67.94,1.255038682
122,67.71,1.259325587
123,68.1,1.259129666
124,68.73,1.253902041
125,68.53,1.248223597
126,68.8,1.247906384
127,69.85,1.222741008
128,69.42,1.27260496
129,69.14,1.235521606
130,70.6,1.215090361
131,69.43,1.285839301
132,70.21,1.219459384
133,70.1,1.233484251
134,69.48,1.273502855
135,70.76,1.222653989
136,70.82,1.249399372
137,70.99,1.240730829
138,71.34,1.227783741
139,71.78,1.251894599
140,71.74,1.243096119
141,71.45,1.249372109
142,71.72,1.241720876
143,71.61,1.246765075
144,71.71,1.268268679
145,71.92,1.256245051
146,71.87,1.261648006
147,72.04,1.270970141
148,72.09,1.265460673
149,72.02,1.271451775
150,72.21,1.267218198
151,72.23,1.263340611
152,72.18,1.261593261
153,72.06,1.265055924
154,72.29,1.263975471
