Epoch,Accuracy,Loss
0,57.88,1.635813745
1,57.6,1.655668201
2,61.89,1.391175688
3,66.59,1.223803499
4,69.63,1.11488632
5,58.55,1.562213059
6,60.95,1.454518549
7,60.54,1.47664042
8,61.72,1.397092756
9,64.98,1.278141024
10,65.66,1.27014828
11,67.07,1.228610193
12,68.83,1.145261426
13,70.1,1.111301505
14,70.32,1.101075521
15,60.64,1.464810136
16,58.6,1.564363761
17,60.33,1.491067583
18,62.52,1.382689785
19,62.14,1.374964707
20,61.82,1.407198205
21,63.52,1.339596288
22,64.7,1.314802068
23,65.11,1.298574247
24,65,1.282867768
25,65.37,1.292984711
26,66.13,1.255838155
27,67.61,1.186509251
28,68.37,1.18773024
29,69.06,1.164501357
30,69.74,1.127648569
31,69.99,1.128648877
32,70.4,1.115540756
33,70.6,1.11507254
34,70.64,1.106124998
35,59.72,1.491056254
36,60.45,1.538430838
37,62.07,1.424855217
38,61.09,1.454618077
39,62.52,1.373408231
40,62.21,1.413293938
41,59.67,1.609957729
42,63.06,1.367277018
43,60.4,1.545812148
44,62.69,1.372746335
45,61.79,1.431271411
46,60.14,1.571531991
47,62.96,1.412710337
48,62.47,1.416642452
49,62.73,1.420662793
50,65.03,1.278640459
51,64.61,1.332473633
52,63.71,1.44344875
53,65.41,1.2950695
54,65.82,1.271927226
55,66.05,1.256006297
56,65.17,1.307363854
57,65.39,1.348535412
58,66.3,1.253049189
59,67.89,1.239355573
60,68.6,1.188020573
61,68.42,1.202096499
62,69.14,1.169223646
63,69.06,1.154935169
64,68.78,1.177171893
65,69.62,1.159719861
66,70.32,1.1486125
67,70.1,1.142348281
68,70.39,1.126000176
69,70.68,1.125597974
70,70.4,1.132787648
71,70.99,1.117719761
72,70.99,1.118145844
73,71,1.123300987
74,70.97,1.115360092
75,59.47,1.528029789
76,60.12,1.483427201
77,61.18,1.48498905
78,61.37,1.46428139
79,62.17,1.401407282
80,61.34,1.483917944
81,61.45,1.443113272
82,60.99,1.492087099
83,60.72,1.488526967
84,61.98,1.426654564
85,62.04,1.449234867
86,60.63,1.509501978
87,61.53,1.432211638
88,60.1,1.533584845
89,60.66,1.493432186
90,63.34,1.358384522
91,59.72,1.48629554
92,61.73,1.465453325
93,64.77,1.314108314
94,62.1,1.458661559
95,63.18,1.390400198
96,63.09,1.404983525
97,64.45,1.309190037
98,64.66,1.317842442
99,63.51,1.325277295
100,64.62,1.318325202
101,62.94,1.407350459
102,66.17,1.255003837
103,63.82,1.388563338
104,63.72,1.344292396
105,65.57,1.275661002
106,65.26,1.292398784
107,64.39,1.33913581
108,64.46,1.340608079
109,64.98,1.313611837
110,65.8,1.270136546
111,64.6,1.38726433
112,65.62,1.297820627
113,66.28,1.255544892
114,64.02,1.414012109
115,67.27,1.270296754
116,65.85,1.289794718
117,66.62,1.260855291
118,65.11,1.31815717
119,67.97,1.209120945
120,66.11,1.299481245
121,66.95,1.287589991
122,66.52,1.322412988
123,67.35,1.286575001
124,67.19,1.27368956
125,68.18,1.213495526
126,68.61,1.212540853
127,68.49,1.217963754
128,67.62,1.303599771
129,68.45,1.229694368
130,68.15,1.203919393
131,68.93,1.192234149
132,69.37,1.194514276
133,69.18,1.207848881
134,69.57,1.184217446
135,69.3,1.202732686
136,70.32,1.156799989
137,70,1.222140086
138,70,1.199048528
139,70.11,1.190899496
140,70.45,1.182788679
141,70.21,1.181996528
142,70.37,1.183286635
143,70.46,1.189967032
144,70.56,1.192703632
145,70.81,1.169683529
146,70.71,1.184722277
147,71.08,1.163979646
148,70.93,1.170169713
149,70.83,1.176441618
150,71.1,1.179490468
151,71.07,1.169995127
152,70.97,1.168283073
153,70.97,1.174360853
154,70.92,1.171940859
